Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Attendance (%),Target,Target_Label,Cluster
0,3,4,11,1,10,112.39019616689782,3,4,1,9,0,108.79398541367806,0,0,1,1,1,0,45,0,0,4,4,4,10.171076612265765,0,0,5,6,4,6.10446630663138,1,8.469029611902076,-0.1568950424582234,-0.4384028030507085,85.10609152161445,0,Dropout,0
0,16,4,6,0,7,122.28978304684752,8,3,4,0,9,154.5576512125716,1,1,0,0,1,1,31,0,0,3,3,3,10.255645192744373,0,1,5,5,4,8.118460026143492,0,10.322694503109386,0.8598719245070453,-0.4321650567618851,95.14875567327984,1,Enrolled,0
0,14,4,1,0,6,156.45251946465555,2,6,6,3,4,140.31262538359073,0,0,1,1,1,1,24,1,1,4,5,2,7.179305697918182,0,2,6,6,6,4.771709381822996,0,8.20353731510878,3.078760625618997,0.2805253019357848,72.80011663868116,0,Dropout,1
2,15,3,14,0,1,127.90775332291574,4,4,1,2,9,140.66746022589643,0,0,1,1,0,0,37,0,2,3,4,1,11.277448488227872,0,1,3,4,2,9.818927651981609,0,11.908537944031677,1.7339458212588843,0.0362822957350763,76.42205887126718,1,Enrolled,0
2,3,7,6,0,2,90.0,7,3,5,6,2,150.09023031572696,0,0,0,0,0,0,35,0,2,3,3,0,12.185879339537598,1,2,4,5,1,12.165821254739472,0,9.732360585041077,3.101646158689311,0.5691206322286475,95.78413555501584,2,Graduate,0
0,2,1,17,0,11,143.43540211012723,19,5,2,4,2,95.0,0,0,0,0,1,0,39,0,2,3,3,0,13.269598072960552,0,1,4,5,3,13.735317199576544,0,6.0,0.7733040326927996,2.701963395302087,81.24041860012215,1,Enrolled,0
1,3,5,9,0,3,154.66445384119487,19,2,6,5,3,143.22486468086737,0,0,1,1,1,0,27,0,0,4,5,1,15.440727606233237,1,1,5,5,5,9.22087944264917,1,7.237168372000266,1.202040814927913,-3.0015428953343517,58.790694666433644,1,Enrolled,0
0,9,3,17,0,1,146.3148622015347,7,5,4,1,8,138.12668450941976,0,0,1,0,0,1,27,0,0,4,4,4,15.186783863143257,1,0,5,6,5,17.449432344706327,1,13.979466053163282,1.7579160153683613,-0.1598853263173412,69.17854803929879,2,Graduate,1
0,8,4,14,0,5,149.81309006167734,8,4,6,0,5,139.82249694460663,1,0,0,1,1,1,40,0,0,5,6,5,16.974744436861823,0,2,3,4,3,16.447575234718325,1,9.343408636983138,1.266374039866329,1.937169056452989,92.9765107350654,2,Graduate,2
0,15,8,8,0,11,170.29950481687968,14,2,5,2,9,125.39850673913772,1,0,0,1,0,1,40,0,0,6,6,4,9.894445215373306,0,0,5,6,4,6.793449935621288,0,9.315994847573654,-0.1731311666002981,1.1504929845569605,63.15005635671188,0,Dropout,1
0,12,4,12,0,5,130.34786789950493,4,1,2,9,7,134.86318080917712,0,0,0,1,1,1,19,0,2,6,7,6,13.107884715496477,1,0,6,6,6,15.188685721323523,1,12.00750966832728,2.1802259504940245,-0.6035581514943966,79.90197328582148,2,Graduate,1
0,14,4,2,0,6,172.80316298322455,14,3,6,2,4,150.0661604619158,0,0,0,0,1,0,38,0,2,5,6,3,9.499413569929391,1,0,3,4,2,3.935461491917072,1,12.81986306983394,0.3172927181380287,3.5,71.1728625979099,0,Dropout,2
0,2,8,3,0,7,131.60381511548246,1,2,5,9,5,180.22619463756325,0,0,0,1,0,1,18,0,1,3,4,2,14.449820467555352,1,1,5,6,4,10.210509810059817,1,9.73273989282522,1.4874928845848694,3.5,72.1271958090532,1,Enrolled,0
2,11,7,13,0,10,159.7863343868528,5,6,1,6,2,97.715729429493,0,0,0,1,0,1,40,1,1,6,6,4,19.314892979772623,1,1,3,4,1,20.0,1,6.0,-1.0,0.772089009866532,95.82961206261488,2,Graduate,2
1,1,6,5,0,9,131.866972076494,11,3,5,6,6,154.29459725622306,0,0,0,1,0,1,46,0,0,5,5,5,8.812501282145776,0,0,4,5,4,8.878266218496307,1,7.590795571271052,0.7216898614035888,-0.9845928932950982,53.81273367470483,0,Dropout,2
1,14,2,1,0,7,179.842728166713,15,2,5,9,8,170.44658787505557,0,0,0,1,0,1,18,0,1,3,3,2,15.406417001174283,1,2,5,5,3,13.263300325234226,0,6.0,1.3485080752554974,0.3479885599881999,73.8648083490634,2,Graduate,0
1,9,6,5,1,6,149.25418694333862,20,4,5,5,8,108.23601232654144,0,0,0,1,1,0,37,1,2,5,6,4,16.67024248192225,1,1,3,4,2,16.64148833007999,0,6.0,2.173576360996204,-1.2291761026284889,67.84218642669042,2,Graduate,2
1,3,1,12,1,9,132.8842125245654,14,5,2,3,6,135.51468625017682,0,0,0,1,0,1,49,0,2,4,4,1,9.875452101369516,0,0,3,4,3,9.121528465886737,0,10.231254472285016,0.0174832390269825,1.52116343051364,96.1511660711027,1,Enrolled,0
0,14,5,6,0,2,108.6091802606174,13,6,6,7,2,146.8943880149697,1,0,0,1,1,0,28,0,2,4,5,4,14.527148682161268,0,1,5,5,2,14.31658739540073,1,10.138671682958533,0.4305770880123765,1.8360092974176456,66.59378874530142,1,Enrolled,0
0,3,8,2,0,6,139.53669099008656,7,4,5,9,4,190.0,0,0,0,1,0,0,38,0,2,3,3,0,11.740233899816978,1,0,3,4,3,12.66307011750332,0,13.82622980583562,3.61715048247302,2.573581242831011,93.45947224203252,2,Graduate,0
0,4,1,2,1,5,116.97590105190709,18,6,2,1,9,190.0,0,0,0,1,0,0,41,0,0,3,3,1,12.575919375189484,0,1,5,6,4,11.78085712779273,1,9.901747352569926,3.858267173281985,1.5189592567122945,90.36966254134154,2,Graduate,0
0,2,3,13,0,6,144.70199878351346,6,6,2,6,8,108.23241800886052,0,0,0,1,1,1,43,0,0,4,4,3,11.624318364424385,1,0,5,6,5,12.211045829522778,0,7.365615709290675,2.117647000173106,1.2117671133098138,49.46178054375925,0,Dropout,0
0,2,2,14,0,10,149.4972932063382,20,1,3,0,8,132.44419070458292,0,0,0,0,0,1,44,0,1,6,6,4,12.21293617716602,0,2,6,7,5,11.51787497695032,0,13.608751925789264,3.035572974125083,-1.0135870128088589,65.05638900560524,0,Dropout,1
1,15,3,6,0,1,157.8879399357739,7,6,5,7,2,144.98727496560227,1,0,0,0,0,1,32,0,0,6,7,5,17.044354217251104,1,2,6,7,5,14.692186048726615,1,15.253428204016563,1.0261140278706318,-1.400472485305144,62.301011773045225,1,Enrolled,1
2,13,7,12,0,11,146.82954631127316,9,4,4,4,4,153.91136256892855,0,0,1,1,0,1,31,0,1,4,5,4,12.72300601263958,1,2,3,3,3,9.657834880235304,0,12.749722745125007,2.283978652474685,-2.837391636651409,73.1505106762902,2,Graduate,2
0,11,7,13,0,5,136.76127517524358,2,2,2,5,0,145.019947849464,1,0,0,1,0,1,19,0,2,6,7,6,10.894157880123956,1,2,3,4,2,13.891848358544642,1,9.798224981917285,2.223680072967495,0.9455909649616964,57.99947377355116,1,Enrolled,2
0,14,4,8,0,8,164.14053600024687,8,1,5,5,6,116.29715078874516,0,0,1,1,1,1,23,0,1,4,4,2,13.241491464068696,1,2,3,4,2,14.56001028056812,0,9.075914919204926,0.370080484033757,2.3538816586253475,47.09341846516773,0,Dropout,0
1,17,8,14,0,3,166.69029026682807,6,2,4,0,1,115.19224595910032,0,0,0,1,1,0,37,0,0,5,6,4,5.572533055639352,0,0,4,4,2,7.865188780050419,0,6.425286802772476,1.7358078528122964,2.873016416895392,95.05599365277584,1,Enrolled,2
0,15,4,4,0,3,111.84044220053752,9,5,1,6,9,101.4687143990664,0,0,0,0,0,0,25,0,0,5,5,5,10.140863691376511,0,1,5,5,5,9.850279700147146,1,7.629652420973057,1.1455900126293264,2.307692406697344,68.08072994067629,0,Dropout,1
0,14,5,6,0,11,173.76571176794732,7,6,4,2,9,95.0,1,0,1,1,0,0,34,0,2,5,5,4,17.370068976872734,1,0,5,5,5,17.634246391780703,1,8.654948288466429,1.9414040246501223,0.1390407211933019,91.93275374715472,2,Graduate,1
